labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	LAT	LON
mul_spaS_006	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.86567	-1.9044
mul_spaS_007	38.0052070617676	36.8384411800867	36.1808052062988	38.5380325317383	37.5686222033412	36.1806144714355	37.9691505432129	36.9104059416672	36.2767677307129	37.9725379943848	36.9122858946351	36.2741470336914	27.9179153442383	19.1381959038219	13.9147424697876	27.0112113952637	18.9742787657113	14.0115537643433	0.816521	0.142899	0.04034	0.011582	0.010027	0.00883	36.86567	-1.9044
mul_spaS_008	38.0516357421875	36.8745661658802	36.1758995056152	38.5395050048828	37.598549712558	36.1756019592285	38.0516357421875	36.9601816111598	36.319938659668	38.060661315918	36.9625177317652	36.3182182312012	27.9932270050049	19.2006885512122	13.8807821273804	27.0590991973877	19.0481028260856	13.9620351791382	0.770255	0.138007	0.040384	0.271626	0.173306	0.070806	37.08215	-1.836117
mul_spaS_012	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.99373	-1.866117
mul_spaS_016	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.9919	-1.868233
mul_spaS_018	38.0251235961914	36.8556812330224	36.1750717163086	38.4551773071289	37.2822600208784	36.1747894287109	37.9830207824707	36.9333032805344	36.2743682861328	38.006404876709	36.9364664801236	36.2721366882324	27.9587383270264	19.1629940504315	13.8967332839966	27.060676574707	19.0078593221204	13.9895620346069	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.95865	-1.86745
mul_spaS_021	38.0388069152832	36.8722863690606	36.1731376647949	38.1718063354492	36.9202357914256	36.1728286743164	38.0305213928223	36.956234030888	36.2901878356934	38.0512962341309	36.9592788170124	36.2882385253906	27.9921379089355	19.1839890808895	13.8640947341919	27.1088161468506	19.0484827041626	13.9660387039185	0.770255	0.138007	0.040384	0.271626	0.173306	0.070806	37.0289	-1.871417
mul_spaS_025	38.0251235961914	36.8556812330224	36.1750717163086	38.4551773071289	37.2822600208784	36.1747894287109	37.9830207824707	36.9333032805344	36.2743682861328	38.006404876709	36.9364664801236	36.2721366882324	27.9587383270264	19.1629940504315	13.8967332839966	27.060676574707	19.0078593221204	13.9895620346069	0.783467	0.138836	0.040093	0.273161	0.173779	0.070577	36.966667	-1.875167
mul_spaS_026	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.863933	-1.980133
mul_spaS_027	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.863933	-1.980133
mul_spaS_028	38.0185699462891	36.8496973322726	36.1683731079102	38.3521194458008	37.0519076220026	36.1680679321289	38.0128211975098	36.9243209312702	36.2748756408691	38.0221481323242	36.9271974234745	36.2710647583008	27.9444255828857	19.1348632423357	13.9130907058716	27.0928173065186	18.9891017190341	13.9900064468384	0.87357	0.147427	0.040328	0.462044	0.320833	0.109269	36.863933	-1.980133
mul_spaS_029	38.0529594421387	36.7904606194332	36.1748542785645	38.2274322509766	36.9259299090082	36.1742744445801	38.0529594421387	36.8906339184991	36.2226982116699	38.0547828674316	36.8902007968946	36.2226982116699	27.6322860717773	18.9753403060738	13.8105182647705	27.1914882659912	18.9478610400496	14.0461006164551	1.007017	0.157469	0.040477	0.086131	0.054945	0.037997	36.744067	-2.230083
mul_spaS_038	38.0529594421387	36.7904606194332	36.1748542785645	38.2274322509766	36.9259299090082	36.1742744445801	38.0529594421387	36.8906339184991	36.2226982116699	38.0547828674316	36.8902007968946	36.2226982116699	27.6322860717773	18.9753403060738	13.8105182647705	27.1914882659912	18.9478610400496	14.0461006164551	1.049809	0.161032	0.040809	0.404956	0.267908	0.085884	36.784683	-2.270533
mul_spaS_041	38.1070556640625	36.8210331708535	36.2079734802246	38.1983108520508	36.8750669411164	36.2077293395996	38.1070556640625	36.9332102282294	36.2750434875488	38.1092262268066	36.932175892797	36.2750434875488	27.6406002044678	18.9572239525017	13.7892770767212	27.2380275726318	18.9457433042855	13.9983396530151	1.049809	0.161032	0.040809	0.404956	0.267908	0.085884	36.79495	-2.28535
mul_spaS_043	38.0251235961914	36.8556812330224	36.1750717163086	38.4551773071289	37.2822600208784	36.1747894287109	37.9830207824707	36.9333032805344	36.2743682861328	38.006404876709	36.9364664801236	36.2721366882324	27.9587383270264	19.1629940504315	13.8967332839966	27.060676574707	19.0078593221204	13.9895620346069	0.815795	0.142432	0.040329	0.574493	0.277031	0.044872	36.93303	-1.922867
